input,output
"How to treat miles driven to the mechanic, gas station, etc when calculating business use of car?","Alright, IRS Publication 463: Travel, Entertainment, Gift, and Car Expenses Business and personal use. If you use your   car for both business and personal purposes,   you must divide your expenses between business   and personal use. You can divide your expense   based on the miles driven for each purpose. Example. You are a sales representative   for a clothing firm and drive your car 20,000   miles during the year: 12,000 miles for business   and 8,000 miles for personal use. You can   claim only 60% (12,000 ÷ 20,000) of the cost of   operating your car as a business expense Obviously nothing helpful in the code.  So I would use option 1, weight the maintenance-related mileage by the proportion of business use.  Although if you use your car for business a lot (and perhaps have a spouse with a car), an argument could be made for 3.  So I would consider my odds of being audited (even lower this year due to IRS budget cuts) and choose 1 or 3. And of course never throw anything away until you're room temperature."
Can a business refuse to take credit cards?,"Businesses are free to decide what payment methods they accept for their goods and services. Businesses sometimes advertise what credit cards they accept by posting some stickers at their door. When your credit card isn't among them and you don't have enough cash with you, ask about your card before you order. If a business doesn't accept your credit card, your best recourse is to take your business elsewhere. When you already ate there and got into an awkward situation because you assumed that they would accept your card, you might also want to write an online review of the place and warn others to bring cash for their visit (but please be fair in the review. When the food and service are decent, a restaurant doesn't deserve a one star rating just because they don't take credit cards). Note that businesses have good reasons to not accept credit cards. It often means additional cost for them in form of: But there is also a more shady reason. Taking payment in cash means that there is no electronic trail of the transaction. That makes it far easier for an establishment to misreport their income. They might under-report it to evade taxes or over-report it to launder money (both are illegal, of course)."
Get a loan with low interest rate on small business,"I am going to assume your location is the US. From what I am seeing it is unlikely you will get a loan other than some government backed thing.  You are a poor risk. At 7k/month, you have above average household income.  The fact that all of your income ""is being washed off somewhere"" is a behavior problem, not a mathematical one.  For example, why do you have a car payment?  You should purchase a car for cash. Failing that, given reasonable rent (1100), reasonable car payment (400), insurances (300), other expenses (1000), you should clear at least 4000 per month in cash flow.  Where is that money going?  Here tracking spending and budgeting is your friend.  Figure out the leaks in your budget and fix them. By cutting back, and perhaps working a second job or somehow earning more you could have a down payment for a home in as little as 10 months.  That is not a very long time.   Similarly we can discuss the grocery store.  Had you prepared for this moment three years ago you could have bought the store for cash.  This would have eliminated a bunch of risk and increase the likelihood of this venture's success.  If you had started this one year ago, you could have gone in with a significant down payment.  The bank would see this as a good risk if you wanted to borrow the remainder. Instead the bank sees you as a person as a poor risk.  You spend every dime you make without much concern for the future or possible negative events (by implication of your question).  If you cannot handle the cash flows of regular employment well, how can you handle the cash flows of a grocery business?  It is far more complex, and there is far less room for error.   So how do you get a loan?  I would start with learning on how to manage your personal finance well prior to delving into the world of business."
Using cash back rewards from business credit card,"A C-Corp is not a pass-through entity, any applicable taxes would be paid by the Corporation, which is a separate legal entity from yourself. If you use the points to purchase something for yourself, that would constitute ""income"" to you, and would be taxable on your personal income tax."
Moving a personal business to a LLC accounting in California,"You can move money in and out of the business at will, just keep track of every transaction. Ideally you'd use an accounting software like QuickBooks or similar. Create a Capital Contributions account and every time you put money into the business checking account record it as a Capital Contribution. Likewise, if you take money out of the business, it comes from your capital accounts. (You can create a separate Capital Distributions account in your accounting software, or just use a single account for contributions and distributions). Money coming in and out of those capital accounts is not taxable because you will pay taxes based on net earnings regardless of whether or not you have distributed any profits. So there's no need to make a loan to the company, which would have tax consequences. To reimburse yourself for purchases already made, submit an expense report to the company. If the company is unfunded right now, you can make a capital contribution to cover current expenses, submit the expense report, and wait until you have some profits before paying out the expense report or making any distributions. Welcome to entrepreneurship."
US Double Taxation - Business Trips and the Foreign Tax Credit,"If you're a US citizen, money earned while in the US is sourced to the US. So you can't apply FTC/FEIE to the amounts attributable to the periods of your work while in the US even if it is a short business trip. Tax treaties may affect this. Most tax treaties have explicit provisions to exclude short trips from the sourcing rules, however due to the ""saving clause"" these would probably not apply to you if you're a US citizen - you'll need to read the relevant treaty. Your home country should allow credit for the US taxes paid on the US-sourced income, and the double-taxation avoidance provision should apply in this case. The technicalities depend on your specific country. You would probably not just remove it from the taxable income, there probably is a form similar to the US form 1116 to calculate the available credit."
Can I use my Roth IRA to start a business?,"Read the Forbes article titled IRA Adventures. While it's not the detailed regulations you certainly need, the article gives some great detail and caution. You may be able to do what you wish, but it must be structured to adhere to specific rules to avoid self dealing. Those rules would be known by the custodians who would help you set up the right structure, it's well buried within IRS regs, I'm sure. Last, in general, using IRA funds to invest in the non-traditional assets adds that other layer of risk, that the investment will be deemed non-allowed and/or self-dealing. So, even if you have the best business idea going, be sure you get proper council on this."
Really have to use business credit card for personal expenses ,"I really have to use the business card for personal expenses, please assume that in your answer. This is very hard to believe. You must do that? Why not just have the company pay you $1600 each month? Then you can use that money for whatever you want. Why can't you do this? (I cannot think of a legitimate reason...) How to integrate the personal expenses in company? Anyway, to answer your question, what I've done when I accidentally used my corporate card for a personal expense is to code the expense as a payment to me similar to if a check had been written to me. If you aren't ever paying yourself, then you should just pay the company back the $1600 every month. As a side note, I highly recommend you don't do this. By doing this on a regular basis you are opening the door for piercing the corporate veil. This means that the financial protections provided by the LLC could potentially be stripped away since personal and corporate funds are being mixed. The unfortunate end result is that personal assets could end up being fair game too in a judgement against the company. Even if you aren't an owner, your relative could be considered to be ""using business money for personal expenses"", namely, letting a relative spend business funds for personal use. How to show more expenses and lessen the profit? If you're referring to the personal expenses, then you absolutely do not want to do this! That's illegal and worthy of stiff penalties, which possibly include jail time for tax evasion. Better to just have the company pay you and then the entire payment is deductible and reduces the profit of the company."
Using credit card points to pay for tax deductible business expenses,"For simplicity, let's start by just considering cash back. In general, cash back from credit cards for personal use is not taxable, but for business use it is taxable (sort of, I'll explain later). The reason is most personal purchases are made with after tax dollars; you typically aren't deducting the cost of what you purchased from your personal income, so if you purchase something that costs $100 and you receive $2 back from the CC company, effectively you have paid $98 for that item but that wouldn't affect your tax bill. However, since businesses typically deduct most expenses, that same $100 deduction would have only been a $98 deduction for business tax purposes, so in this case the $2 should be accounted for. Note, you should not consider that $2 as income though; that would artificially inflate your revenue. It should be treated as a negative expense, similar to how you would handle returning an item you purchased and receiving a CC refund. Now for your specific questions: Part 1: As a small business owner, I wish to attend an annual seminar to improve my business. I have enough credit card reward points to cover the airfare, hotel, and rental car. Will those expenses still be deductible at the value displayed on the receipt? Effectively no, these expenses are not deductible. If you deduct them they will be completely counter-acted by the ""refund"" you receive for the payments. Part 2: Does it matter if those points are accrued on my personal credit card, rather than a business credit card? This is where it gets hairy. Suppose your company policy is that employees make purchases with their own personal credit cards and submit receipts for reimbursement. In this case the employer can simply reimburse and would not know or care if the employee is racking up rewards/points/cashback. The trick is, as the employee, you must always purchase business related items normally so you have receipts to show, and if you receive cashback on the side there seems to be a ""don't ask, don't tell"" rule that the IRS is OK with. It works the same way with heavy business travelers and airline miles- the free vacations those users get as perks are not treated as taxable income. However, I would not go out of my way to abuse this ""loophole"". Typically, things like travel (airfare, hotel, car rental, meals) are expected. But I wouldn't go purchase 100 company laptops on your personal card and ask the company to reimburse you. The company should purchase those 100 laptops on a company card and effectively reduce the sale price by the cashback received. (Or more realistically, negotiate a better discount with your account rep and just cut them a check.) Part 3: Would there be any difference between credit card points and brand-loyalty points? If the rental car were paid for with points earned directly on the rental car company's loyalty system (not a CC), would that yield a different result? There is no difference. Perhaps the simplest way to think about this is you can only deduct an expense that you actually incur. In other words, the expense should show up on a bank or CC statement. This is why when you volunteer and work 10 hours for a charity, you can't call that a ""donation"" of any amount of money because there is no actual payment made that would show up on a bank statement. Instead you could have billed the charity for your 10 hours of work, and then turned around and donated that same amount back to them, but it ends up being a wash."
How to account for money earned and spent prior to establishing business bank accounts?,"Funds earned and spent before opening a dedicated business account should be classified according to their origination. For example, if your business received income, where did that money go?  If you took the money personally, it would be considered either a 'distribution' or a 'loan' to you.  It is up to you which of the two options you choose. On the flip side, if your business had an expense that you paid personally, that would be considered either a 'contribution of capital' or a 'loan' from you. If you choose to record these transactions as loans, you can offset them together, so you don't need two separate accounts, loan to you and loan from you. When the bank account was opened, the initial deposit came from where?  If it came from your personal funds, then it is either a 'contribution of capital' or a 'loan' from you. From the sound of your question, you deposited what remained after the preceding income/expenses.  This would, in effect, return the 'loan' account back to zero, if choosing that route. The above would also be how to record any expenses you may pay personally for the business (if any) in the future. Because these transactions were not through a dedicated business bank account, you can't record them in Quickbooks as checks and deposits.  Instead, you can use Journal Entries.  For any income received, you would debit your capital/loan account and credit your income account.  For any expenses, you would debit the appropriate expense account and credit your distribution/loan account. Also, if setting up a loan account, you should choose either Current Asset or Current Liability type.  The capital contribution and distribution account should be Equity type. Hope this helps!"
Do I need a Like-Kind Exchange when selling a personal vehicle for a company car,"You cannot do a like-kind (Sec. 1031) exchange for personal property, only for business/investment property. Since you said that you traded in your personal car - no like-kind exchange is possible. Also, since the new car doesn't belong to you - you didn't actually perform any exchange. You sold your old car, but you didn't buy a new one. If Turbo-Tax suggests you to fill the exchange form - you must have entered something wrong to make it think there was an exchange. Check your entries again, specifically - check if you entered that you purchased a new car instead of the old one, since you didn't. See an example of where to start looking here."
Can I Accept Gold?,Of course you can accept gold as payment.  Would anyone pay in gold? Would it have tax consequences on your federal taxes? These additional questions are off-topic on this site about personal finance.
How to deduct operational loss from my personal income tax?,"I'm not an accountant, and you should probably get the advice of one to be sure about what to do.  However, if the business is a sole-proprietorship, you'd complete a Schedule C for the business, and you'd end up with a loss at the end.  If the investment you made in the business is considered to be entirely or partially ""at risk"" per the IRS definition, you'd get to claim all or part of the loss as a reduction in your income.  If the business was an LLC, then you're beyond my already limited knowledge. There may be some other considerations based on whether this was really a business vs a hobby, and whether or not you're going to try to continue with the business, or whether you've shut it down.  I'm not sure about those parts, but they'd be worth exploring with an accountant."
Can my company buy my personal debt?,"When your debt is forgiven, you have to consider the amount written off as an ordinary income item (with the exclusion of the debt originated from the purchase of primary home). If you're trying to write the debt off from your taxes - then it won't work. Even if you can expense the debt forgiveness, you will incur tax liability on your personal taxes side, and in addition you'll be out of cash in your business. So basically you'll end up paying it with after tax money, exactly the thing you're trying to avoid. In addition, you're dealing with related persons here, which means that the loss deduction might not be allowed (depends on the actual details of the transaction), so you might actually end up paying more taxes with this scheme that just paying off the loan directly (if your business pays taxes separately from your person). A loss on the sale or exchange of property between related persons is   not deductible. This applies to both direct and indirect transactions,   but not to distributions of property from a corporation in a complete   liquidation. For the list of related persons, see Related persons   next."
What is the difference between a bond and a debenture?,"Investopedia has definitions for both: Debenture: A type of debt instrument that is not secured by physical asset or collateral. Bond: A debt investment in which an investor loans money to an entity (corporate or governmental) that borrows the funds for a defined period of time at a fixed interest rate. Wikipedia's entry for debenture says: In some countries [debenture] is used interchangeably with bond, loan stock or note. Seems to me that there's not much difference."
How to have a small capital investment in US if I am out of the country?,"For $100 you better just hold it in Mexico.  The cost of opening an account could eat 10% or more of your capital easily, and that won't be able to buy enough shares of an ETF or similar investment to make it worthwhile."
Do I owe taxes if my deductions are higher than my income?,"No, it's not possible. Even if you had no deduction or credits, your federal tax on $16,604 would be: $9075 @ 10% = $907.50 +  $7529 @ 15% = $1129.35 = $2036.85 That assumes you are filing as single. There must be more to the story.  Typo in your income numbers?  Also, what do you mean by a self-employment tax deduction? Maybe update your question to include a breakdown of everything you entered? Edit: As noted in Loren's answer, it seems that it is indeed possible in at least one case (self-employment taxes)."
What increases your chance of being audited?,"Here is an article that claims to know something about it. Here are a selection of quotes: The IRS says there are several ways a return can be selected for audit and the first is via the agency's computer-scoring system known as Discriminant Information Function, or DIF. The IRS evaluates tax returns based on IRS formulas, and DIF is based on deductions, credits and exemptions with norms for taxpayers in each of the income brackets. The actual scoring formula to determine which tax returns are most likely to be in error is a closely guarded secret. But Nath, a tax attorney in the Washington, D.C., area, says it's no mystery the system is designed to screen for returns that could put more money in the government Treasury. So what is likely to trigger a discriminant information function red flag?"
"If I invest in a company that goes bankrupt, is that a gain or a loss?","I'll give the credit to @Quid in the comments section of the question.  You put out $10k, you got back $20k, that's a cash gain of $10k, how the asset was valued between your purchase and sale isn't relevant. From an accounting perspective, the company is the only party that is realizing the loss (as they have sold the asset for 40K less than par). You the buyer, only get to see the initial buy and sale of such capital asset.  Example: A company purchases a car for $20,000 and after depreciation it is worth (book valued at) $2,000. It is then sold to a customer for $3,000.  Does the customer realize a loss of $1,000? No.  Does the company realize a gain of $1,000? Yes.  Your bank analogy is flawed in two ways:"
Privacy preferences on creditworthiness data,"See the first item in the list: For our everyday business purposes – such as to process your   transactions, maintain your account(s), respond to court orders and   legal investigations, or report to credit bureaus Note that there's no option for you to limit this sharing. Credit reporting is the business need of the bank, not of the bureaus. They rely on them and others reporting it in their main business: lending. While you can limit the sharing with other banks/insurance companies/service providers so that you won't get offers from them based on the data shared by the bank, you cannot limit the credit reports themselves."
When should I start an LLC for my side work?,"An LLC is overkill for 99% of 1 man small businesses. Side-businesses should remain as sole proprieterships until they get much larger and need the benefits of the LLC laws. You can still bill through a company name if you want to start building a brand: And set aside 25% of your gross income for Uncle Sam. He wants you to file a Schedule C with your regular 1040 at tax time. He doesn't care about your company. He just wants your social security number with a big fat check stuck to it. Be sure to maximize your tax savings by tracking your expenses like a hawk. Every mile is worth 50 cents. I recommend using a tracking system like the TaxMinimiser.com (buy the $4 version to see if you like it). Bottom line: EARN MONEY. Don't set up a ""corporation""."
Why are bank transactions not instant?,"If you want your bank to pay $1 to a beneficiary Bob, then the service (no matter how implemented) needs to result in Bob's bank saying to Bob ""Hey, I owe you $1"".    The usual way how this is done consists of two parts - your bank needs to somehow tell Bob's bank ""hey guys, do us a favor and please give Bob $1 with a message from the sender"", and your bank needs to convince the other bank that they'll pay for (cover) that. This is the main source for the delays in international payments - there are thousands of banks, and most of possible pairs have no legal contact between themselves whatsoever, no bilateral agreements, no trust and no reasonable enforcement mechanism for small claims. If I'm Bob's bank, then a random bank from anywhere from Switzerland to Nigeria can send me an instruction ""give Bob $1, we'll make it up for you"", the SWIFT network is a common way of doing this. However, most likely I'm going to give Bob the money only after I receive the funds somehow, which means that they have given the money to some institution I work with. For payments within a single country, it often is a centralized exchange or a central bank, and the payment speed is then determined by the details of that particular single payment network - e.g. UK Faster Payments or the various systems used in USA. For international payments, it may require a chain of multiple intermediaries (correspondent banks) - for example, a payment of $1mm from Kazakhstan to China will likely involve the Kazakhstan bank asking their main correspondent in USA (some major bank such as Chase JPMorgan) to give the money to the relevant chinese bank's correspondent in USA (say, Citi) to then give the money to that chinese bank to then give the money to the actual recipient. Each of those steps can happen because those entities have bilateral agreements, trust and accounts with each other; and each of those steps generally takes time and verification. If you want all payments to happen instantly, then you need all institutions to join a single binding payment system. It's not as easy as it sounds, as it is a nightmare of jurisdiction - for example, if you'd want me (as Bob's bank) to credit Bob instantly, then the system needs to provide solid guarantees that I would get paid even if (a) the payer institution changes its mind, made a mistake or intentional fraud; (b) the payer institution goes insolvent; (c) the system provider gets insolvent. Providing such guarantees is expensive, they need to be backed by multi-billion capital, and they're unrealistic to enforce across jurisdictions (e.g. would an Iranian bank get recourse if some funds got blocked because of USA sanctions). The biggest such project as far as I know is SEPA, across most of Europe. Visa and MasterCard networks perform the same function - a merchant gets paid by the CC network even if the payer can't pay his CC bill or the paying bank goes insolvent."
Excessive Credit Check from Comcast,"In general, it is unusual for a credit check to occur when you are terminating a contract, since you are no longer requesting credit. If the credit check was a ""hard pull"" it will stay on your credit report for 2 years, but will only have an impact on your credit score for up to 12 months. If the check is a ""soft pull"" it has no impact on your credit score. Since you're past the 12 months boundary anyway, I wouldn't worry about it.  That being said, please feel free to continue your investigation and report back if you can get Comcast to admit they performed the 2nd credit check. I'm sure we'd all be interested to hear their explanation for it."
